"chromosomeName"	"start"	"end"	"readsL"	"readsR"	"isNonBlind"	"leftFragEndValid"	"rightFragEndValid"
10	70006731	70007034	1185	1160	TRUE	TRUE	FALSE
10	70007039	70007153	1164	1154	FALSE	TRUE	TRUE
10	70007158	70007265	1557	1548	TRUE	TRUE	TRUE
10	70007270	70007275	1056	1055	FALSE	FALSE	FALSE
10	70007280	70007291	1035	1034	FALSE	FALSE	FALSE
10	70007296	70007485	1000	984	FALSE	TRUE	TRUE
10	70007490	70007558	1039	1033	TRUE	FALSE	TRUE
10	70007563	70007619	1429	1424	FALSE	TRUE	TRUE
10	70007624	70007874	1455	1434	FALSE	TRUE	TRUE
10	70007879	70008183	1088	1062	TRUE	TRUE	TRUE
10	70008188	70008366	1296	1280	TRUE	FALSE	FALSE
10	70008371	70008789	1385	1348	TRUE	FALSE	FALSE
10	70008794	70008927	1301	1289	FALSE	TRUE	FALSE
10	70008932	70009185	1324	1301	TRUE	TRUE	TRUE
10	70009190	70009316	981	970	FALSE	TRUE	TRUE
10	70009321	70009564	884	862	TRUE	FALSE	TRUE
10	70009569	70009583	995	994	FALSE	FALSE	FALSE
10	70009588	70009745	1190	1176	FALSE	TRUE	TRUE
10	70009750	70009764	1142	1140	FALSE	FALSE	FALSE
10	70009769	70009895	1341	1329	TRUE	FALSE	TRUE
10	70009900	70009950	1227	1222	FALSE	TRUE	TRUE
10	70009955	70010574	1220	1164	TRUE	FALSE	TRUE
10	70010579	70010590	689	688	FALSE	FALSE	FALSE
10	70010595	70010712	1145	1134	FALSE	TRUE	TRUE
10	70010717	70011294	843	791	FALSE	TRUE	TRUE
10	70011299	70011404	1243	1233	TRUE	TRUE	TRUE
10	70011409	70011667	771	748	FALSE	TRUE	TRUE
10	70011672	70012195	1012	967	TRUE	TRUE	TRUE
10	70012200	70012257	783	778	FALSE	TRUE	TRUE
10	70012262	70012297	696	693	FALSE	TRUE	TRUE
10	70012302	70012348	876	872	FALSE	TRUE	TRUE
10	70012353	70012373	1040	1038	FALSE	FALSE	FALSE
10	70012378	70012378	864	864	FALSE	FALSE	FALSE
10	70012383	70012472	492	484	FALSE	TRUE	TRUE
10	70012477	70012624	746	733	FALSE	TRUE	TRUE
10	70012629	70013106	665	625	TRUE	FALSE	FALSE
10	70013111	70013140	887	885	FALSE	TRUE	TRUE
10	70013145	70013607	816	779	FALSE	TRUE	TRUE
10	70013612	70013779	462	449	FALSE	TRUE	TRUE
10	70013784	70013918	570	559	FALSE	TRUE	TRUE
10	70013923	70014137	471	454	TRUE	TRUE	FALSE
10	70014142	70014182	717	714	FALSE	FALSE	FALSE
10	70014187	70014372	578	564	TRUE	FALSE	TRUE
10	70014377	70014479	424	416	FALSE	TRUE	TRUE
10	70014484	70014607	628	618	FALSE	TRUE	TRUE
10	70014612	70015235	796	751	TRUE	TRUE	FALSE
10	70015240	70015589	383	359	FALSE	FALSE	TRUE
10	70015594	70015936	917	894	TRUE	TRUE	TRUE
10	70015941	70015981	386	384	FALSE	TRUE	TRUE
10	70015986	70015991	409	409	FALSE	FALSE	FALSE
10	70015996	70016075	409	403	FALSE	FALSE	FALSE
10	70016080	70016252	760	749	FALSE	FALSE	TRUE
10	70016257	70016267	578	577	FALSE	FALSE	FALSE
10	70016272	70016321	735	732	FALSE	TRUE	TRUE
10	70016326	70016346	749	748	FALSE	FALSE	FALSE
10	70016351	70016378	408	406	FALSE	TRUE	TRUE
10	70016383	70016404	547	545	FALSE	FALSE	FALSE
10	70016409	70016624	563	550	FALSE	TRUE	TRUE
10	70016629	70016718	549	544	TRUE	TRUE	TRUE
10	70016723	70016910	410	399	TRUE	TRUE	TRUE
10	70016915	70016946	709	707	FALSE	TRUE	TRUE
